system,vai_mean,vai_sd,math_density_mean,student_reasoning_rate_mean,token_balance_student_share_mean,tutor_student_token_ratio_mean,answer_dependency_index_mean,autonomy_process_score_mean
GPS-Agent,0.32557094466173025,0.2135077007330727,1.1252725207545509,0.7709892820577429,0.25194267262003267,3.6631326967747846,4.6486557662832935,0.689140056679868
Single-Agent,0.3204027887333254,0.2305935740396726,1.0055476190476191,0.7609285714285715,0.17914627021233995,5.959833285666563,4.2098142046125915,0.38533284004047424
Cross-Model Phi-3,0.36088204003645924,0.33375796066129093,0.7212240674127056,0.6352512100366776,0.4555883616008796,18.829273437552505,11.527139300641732,0.641890455375427
