system,n_sessions,n_questions,n_levels,direct_answer_leakage_rate,direct_answer_leakage_ci_low,direct_answer_leakage_ci_high,phase_validity_rate,phase_validity_ci_low,phase_validity_ci_high,solve_reached_rate,solve_reached_ci_low,solve_reached_ci_high,gps_completion_rate,gps_completion_ci_low,gps_completion_ci_high,premature_solve_rate,premature_solve_ci_low,premature_solve_ci_high,skipped_guide_rate,skipped_guide_ci_low,skipped_guide_ci_high,skipped_practice_rate,skipped_practice_ci_low,skipped_practice_ci_high,stall_rate,stall_ci_low,stall_ci_high,guide_loop_rate,guide_loop_ci_low,guide_loop_ci_high,practice_pressure_rate,practice_pressure_ci_low,practice_pressure_ci_high,reflection_completion_rate,reflection_completion_ci_low,reflection_completion_ci_high,non_vietnamese_leakage_rate,non_vietnamese_leakage_ci_low,non_vietnamese_leakage_ci_high,degeneracy_flag_rate,degeneracy_flag_ci_low,degeneracy_flag_ci_high,n_turns_mean,n_turns_sd,n_turns_ci_low,n_turns_ci_high,tutor_turns_mean,tutor_turns_sd,tutor_turns_ci_low,tutor_turns_ci_high,student_turns_mean,student_turns_sd,student_turns_ci_low,student_turns_ci_high,parsed_turn_ratio_mean,parsed_turn_ratio_sd,parsed_turn_ratio_ci_low,parsed_turn_ratio_ci_high,student_tokens_mean,student_tokens_sd,student_tokens_ci_low,student_tokens_ci_high,tutor_tokens_mean,tutor_tokens_sd,tutor_tokens_ci_low,tutor_tokens_ci_high,token_balance_student_share_mean,token_balance_student_share_sd,token_balance_student_share_ci_low,token_balance_student_share_ci_high,tutor_student_token_ratio_mean,tutor_student_token_ratio_sd,tutor_student_token_ratio_ci_low,tutor_student_token_ratio_ci_high,student_math_mean,student_math_sd,student_math_ci_low,student_math_ci_high,tutor_math_mean,tutor_math_sd,tutor_math_ci_low,tutor_math_ci_high,total_math_mean,total_math_sd,total_math_ci_low,total_math_ci_high,vai_mean,vai_sd,vai_ci_low,vai_ci_high,math_density_mean,math_density_sd,math_density_ci_low,math_density_ci_high,student_reasoning_turns_mean,student_reasoning_turns_sd,student_reasoning_turns_ci_low,student_reasoning_turns_ci_high,student_reasoning_rate_mean,student_reasoning_rate_sd,student_reasoning_rate_ci_low,student_reasoning_rate_ci_high,max_same_phase_run_mean,max_same_phase_run_sd,max_same_phase_run_ci_low,max_same_phase_run_ci_high,n_guide_mean,n_guide_sd,n_guide_ci_low,n_guide_ci_high,n_practice_mean,n_practice_sd,n_practice_ci_low,n_practice_ci_high,n_solve_mean,n_solve_sd,n_solve_ci_low,n_solve_ci_high,phase_balance_entropy_mean,phase_balance_entropy_sd,phase_balance_entropy_ci_low,phase_balance_entropy_ci_high,answer_dependency_index_mean,answer_dependency_index_sd,answer_dependency_index_ci_low,answer_dependency_index_ci_high,autonomy_process_score_mean,autonomy_process_score_sd,autonomy_process_score_ci_low,autonomy_process_score_ci_high
Human Pilot (GPS),225,45,4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.6035674514745464,6.986666666666666,7.404444444444445,3.6,0.8017837257372732,3.493333333333333,3.7022222222222223,3.6,0.8017837257372732,3.493333333333333,3.7022222222222223,0.8953556254928804,0.1525432582109174,0.8748830369340174,0.9150333413500079,72.6,9.328814807588675,71.36433333333333,73.78688888888888,88.32444444444444,20.291988606031236,85.69755555555555,90.86288888888889,0.45519317626667993,0.026047726379602468,0.45174926172046803,0.45853177805698614,1.2041819324634868,0.12869955891471305,1.1880513303066293,1.2210803744783698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3777777777777778,0.9231373352229557,2.2622222222222224,2.4934444444444437,0.6657777777777778,0.21988046897103125,0.6364407407407408,0.6937037037037036,1.4,0.4909902530309829,1.3377777777777777,1.4666666666666666,1.4,0.4909902530309829,1.3377777777777777,1.4666666666666666,1.2,0.4008918628686366,1.1511111111111112,1.248888888888889,1.0,0.0,1.0,1.0,0.9813248696435896,0.02333886470754165,0.978173892254751,0.9843154711758212,0.0,0.0,0.0,0.0,0.6664444444444444,0.05497011724275782,0.6591101851851853,0.6734259259259259
GPS-Agent,100,25,4,0.09,0.04,0.15,0.75,0.66,0.83,0.87,0.81,0.93,0.62,0.52,0.71,0.25,0.17,0.34,0.0,0.0,0.0,0.25,0.17,0.34,0.41,0.31,0.51,0.0,0.0,0.0,0.41,0.31,0.51,0.11,0.05,0.17,0.0,0.0,0.0,0.0,0.0,0.0,18.25,12.14007055709781,15.98,20.85025,9.18,6.042576211577912,8.06975,10.47025,9.07,6.1484251083615975,7.89975,10.370249999999999,0.4098446543007755,0.23286614844756645,0.36535999728205953,0.45329153256451377,233.18,119.20938035086148,209.898,257.20699999999994,707.2,295.9859401520227,649.7057500000001,770.58225,0.25194267262003267,0.09578597493796895,0.23196307845224734,0.27031922617537085,3.6631326967747846,2.095957067914485,3.272552128550361,4.100469134576334,10.45,10.534575109005239,8.41,12.67,21.64,15.776545690974116,18.72975,24.820249999999998,32.09,21.60344856496272,27.969749999999998,36.450250000000004,0.32557094466173025,0.2135077007330727,0.2838489364529583,0.3652668572522472,1.1252725207545509,0.9695701254222374,0.9420951985418763,1.320547956904647,7.04,5.29707371092662,6.07975,8.14,0.7709892820577429,0.16598897636960142,0.7410529092795354,0.8021351354916023,3.54,2.907392180791799,3.0,4.13,1.08,0.2726599243442907,1.03,1.14,3.29,3.1695999173970897,2.69,3.93,0.87,0.3379976689896311,0.81,0.93,0.7231953257219227,0.21453644965815674,0.6814116330561771,0.764815488068289,4.6486557662832935,6.1928848805257095,3.610128426693171,5.9731715929191305,0.689140056679868,0.1351463995988084,0.6619323248893475,0.7150530458516835
Single-Agent,100,25,4,0.54,0.44,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,2.8907899727698423,14.3,15.39,7.53,1.290642311315407,7.28,7.76,7.34,1.6094418381237114,7.03,7.63,0.29739355828355674,0.1437898891720174,0.2703183701371564,0.3254453451060525,172.83,91.9473998731576,155.19975,192.14049999999997,845.41,333.4485284284684,777.9192499999999,907.7855,0.17914627021233995,0.09118179895872457,0.16186468119240022,0.19738063830918837,5.959833285666563,3.2686104668062277,5.333765747751885,6.600704101970283,6.41,4.3160377452220935,5.58,7.35,21.9,20.00883643177522,18.2,25.830499999999997,28.31,21.60139118228502,24.17,32.480999999999995,0.3204027887333254,0.2305935740396726,0.2796333850807066,0.3648586215707291,1.0055476190476191,1.068285891503738,0.82083125,1.2209041666666665,5.55,1.7196135342194498,5.20975,5.87,0.7609285714285715,0.17905868907219283,0.7252005952380953,0.7971461309523811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2098142046125915,4.437644203432817,3.429841522142732,5.095061135974239,0.38533284004047424,0.1513755297770608,0.3574375556923057,0.4141175557558565
Cross-Model Phi-3,49,25,2,0.42857142857142855,0.2857142857142857,0.5714285714285714,1.0,1.0,1.0,0.08163265306122448,0.02040816326530612,0.16326530612244897,0.08163265306122448,0.02040816326530612,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959183673469388,0.673469387755102,0.8979591836734694,0.22448979591836735,0.12244897959183673,0.3469387755102041,0.7755102040816326,0.6530612244897959,0.8775510204081632,0.0,0.0,0.0,0.2857142857142857,0.16326530612244897,0.40816326530612246,0.0,0.0,0.0,34.40816326530612,30.995912611817964,26.446938775510205,42.98061224489795,17.448979591836736,15.54303330607451,13.408163265306122,21.816326530612244,16.959183673469386,16.138668862488668,12.73469387755102,21.429081632653055,0.11528978121821934,0.10121664094020873,0.08952175993152198,0.1443416845157636,1905.0816326530612,2076.131657642151,1388.3841836734694,2524.823469387755,1745.2244897959183,913.9769158578833,1503.080612244898,2008.9933673469386,0.4555883616008796,0.19185173569072772,0.4002807480502493,0.5069490058613457,18.829273437552505,97.92113594223174,1.3705574437745176,49.78452636492518,16.306122448979593,23.128449365835728,10.570408163265306,22.6734693877551,30.591836734693878,30.85984335625813,22.28469387755102,39.89795918367347,46.89795918367347,36.67154033781918,36.734693877551024,57.328571428571415,0.36088204003645924,0.33375796066129093,0.26993640734696767,0.4550244509795675,0.7212240674127056,0.6831099095979772,0.544202244621468,0.9172717417483258,11.938775510204081,12.891224669106801,8.611734693877551,15.612244897959183,0.6352512100366776,0.21727424798814304,0.5716098842159767,0.6924116484542974,5.224489795918367,1.7708908554082905,4.73469387755102,5.714285714285714,2.795918367346939,1.9893423519337439,2.2653061224489797,3.3877551020408165,4.918367346938775,2.0599022498438035,4.3061224489795915,5.469897959183671,0.08163265306122448,0.2766416675862441,0.02040816326530612,0.16326530612244897,0.4956910496238699,0.1961931259005144,0.43782558243489367,0.5488635619446917,11.527139300641732,23.407658442368632,5.855686378720297,18.60719827491346,0.641890455375427,0.17484471470655003,0.5928270930594328,0.6896501971505875
