system,n_sessions,n_questions,n_levels,vai_mean,vai_sd,math_density_mean,student_reasoning_turns_mean,direct_answer_leakage_rate,stall_rate,phase_validity_rate,reflection_completion_rate,non_vietnamese_leakage_rate
GPS-Agent,100,25,4,0.32557094466173025,0.2135077007330727,1.1252725207545509,7.04,0.09,0.41,0.75,0.12643678160919541,0.0
Single-Agent,100,25,4,0.3204027887333254,0.2305935740396726,1.0055476190476191,5.55,0.54,0.0,0.0,,0.0
Cross-Model Phi-3,49,25,2,0.36088204003645924,0.33375796066129093,0.7212240674127056,11.938775510204081,0.42857142857142855,0.7959183673469388,1.0,0.0,0.2857142857142857
